disease_diagnostic_id,disease_id,diagnostic_id,role,source_review_status,medical_review_status,clinical_context,sequence_order,patient_stability,expected_result,interpretation,limitations,test_to_avoid,age_context,pregnancy_context,step_levels,subject_exams,source_status
DDG-0015-0,DIS-C-0015,DIA-015,initial,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0015-1,DIS-C-0015,DIA-016,confirmatory,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0016-0,DIS-P-0016,DIA-016,initial,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0016-1,DIS-P-0016,DIA-017,confirmatory,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0017-0,DIS-P-0017,DIA-017,initial,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0017-1,DIS-P-0017,DIA-018,confirmatory,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0018-0,DIS-P-0018,DIA-018,initial,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0018-1,DIS-P-0018,DIA-019,confirmatory,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0019-0,DIS-P-0019,DIA-019,initial,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DDG-0019-1,DIS-P-0019,DIA-020,confirmatory,draft_ai_generated,draft_ai_generated,"Use after history, examination, and stability assessment.",1,stable or unstable according to presentation,Interpret in the context of the suspected syndrome.,A single test is not independently diagnostic unless specified by its role.,"Timing, pretest probability, and specimen or imaging quality affect interpretation.",,all ages as clinically relevant,consider radiation and pregnancy-safe alternatives,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
