reference_id,title,organization_or_author,source_type,publication_year,url,date_accessed,relevant_topic,notes,verification_status
REF-CARD-001,2025 ACC/AHA/ACEP/NAEMSP/SCAI Guideline for the Management of Patients With Acute Coronary Syndromes,ACC/AHA/ACEP/NAEMSP/SCAI,clinical practice guideline,2025,https://www.ahajournals.org/doi/epdf/10.1161/CIR.0000000000001309,2026-07-29,acute coronary syndromes,Verified public guideline URL.,verified
REF-CARD-002,Part 9: Adult Advanced Life Support,American Heart Association,resuscitation guideline,2025,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines/adult-advanced-life-support,2026-07-29,"tachycardia, bradycardia, ventricular rhythms",Verified public guidance page.,verified
REF-CARD-003,2022 ACC/AHA Guideline for the Diagnosis and Management of Aortic Disease,ACC/AHA,clinical practice guideline,2022,https://www.acc.org/Guidelines/Guidelines/2022/11/02/14/08/Aortic-Disease,2026-07-29,aortic disease,Verified public guideline hub.,verified
REF-CARD-004,2022 AHA/ACC/HFSA Heart Failure Guideline: Key Perspectives,ACC/AHA/HFSA,clinical practice guideline summary,2022,https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2022/03/29/19/53/2022-aha-acc-hfsa-heart-failure-guideline-gl-hf,2026-07-29,heart failure,Verified public ACC guidance summary.,verified
REF-CARD-005,2020 ACC/AHA Guideline for the Management of Patients With Valvular Heart Disease,ACC/AHA,clinical practice guideline,2020,https://www.acc.org/guidelines/hubs/valvular-heart-disease,2026-07-29,valvular disease and endocarditis,Verified public guideline hub.,verified
REF-CARD-006,2023 Guideline for Diagnosis and Management of Atrial Fibrillation: Key Perspectives,ACC/AHA/ACCP/HRS,clinical practice guideline summary,2023,https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2023/11/27/19/46/2023-acc-guideline-for-af-gl-af,2026-07-29,atrial fibrillation,Verified public ACC guidance summary.,verified
REF-CARD-007,Clinical Guidance for Acute Rheumatic Fever,Centers for Disease Control and Prevention,clinical guidance,2025,https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/acute-rheumatic-fever.html,2026-07-29,rheumatic fever,Verified public CDC guidance.,verified
REF-NEUR-001,Stroke Overview,National Institute of Neurological Disorders and Stroke,official health information,2025,https://www.ninds.nih.gov/health-information/stroke/stroke-overview,2026-07-29,stroke and vascular cognitive impairment,Verified public NINDS page.,verified
REF-NEUR-002,Epilepsy and Seizures,National Institute of Neurological Disorders and Stroke,official health information,2024,https://www.ninds.nih.gov/node/647,2026-07-29,seizures and epilepsy,Verified public NINDS page.,verified
REF-NEUR-003,IDSA Clinical Practice Guidelines for the Management of Bacterial Meningitis,Infectious Diseases Society of America,clinical practice guideline,2004,https://www.idsociety.org/practice-guideline/bacterial-meningitis,2026-07-29,bacterial meningitis,Verified public IDSA guideline page.,verified
REF-NEUR-004,Multiple Sclerosis,National Institute of Neurological Disorders and Stroke,official health information,2025,https://www.ninds.nih.gov/health-information/disorders/multiple-sclerosis-ms,2026-07-29,multiple sclerosis and demyelination,Verified public NINDS page.,verified
REF-NEUR-005,Neurological Diagnostic Tests and Procedures,National Institute of Neurological Disorders and Stroke,official health information,2025,https://www.ninds.nih.gov/health-information/disorders/neurological-diagnostic-tests-and-procedures,2026-07-29,neurologic diagnostics,Verified public NINDS page.,verified
REF-REN-001,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,Kidney Disease: Improving Global Outcomes,clinical practice guideline,2024,https://kdigo.org/guidelines/ckd-evaluation-and-management/,2026-07-29,"CKD, AKI, dialysis, and complications",Verified public KDIGO guideline hub.,verified
REF-REN-002,KDIGO 2021 Glomerular Diseases Guideline 2024 Update,Kidney Disease: Improving Global Outcomes,clinical practice guideline,2024,https://kdigo.org/guidelines/gd/kdigo-2021-glomerular-diseases-guideline_english_ln-2024-update/,2026-07-29,glomerular and nephrotic disease,Verified public KDIGO guideline page.,verified
REF-REN-003,IDSA 2025 Guideline Update on Complicated Urinary Tract Infections,Infectious Diseases Society of America,clinical practice guideline,2025,https://www.idsociety.org/practice-guideline/complicated-urinary-tract-infections/,2026-07-29,UTI and pyelonephritis,Verified public IDSA guideline page.,verified
